你能上网了吗	上网你都做什么	0
我想吃冰棒	我想吃苹果	0
你真坑	你真是猪啊	0
捡垃圾	没关系捡起来	0
小琪琪，今天有我的快递么	快递小哥怎么还没来	0
比你美	你长的美不美	0
，你知道啦	我知道啦睡吧	0
你有没有定位服务	你有什么服务	0
没事我没在忙	我怎么没事了，有事	0
听儿歌	听儿歌，听儿歌	1
我都说了放中文歌怎么回事还不反应	我怎么兰兰怎么回事你跟我说	0
我找一个有才有能有德的人	我有一个人	0
下一期双色球号码	给我放一期	0
呃那你休息	呃休息吧	1
哦，这么慢的形容	反应这么慢现在	0
洗澡了我去	我要带你去洗澡	0
放首朋友	放一首朋友别哭	0
帮我看下四月二十号有没有记提醒	二十五号十点提醒我看电影	0
我想学画画，你可以教教我吗	我可以教你说话吗	0
我超级累	嗯我好累啊	1
为什么你显示出来的不清楚	把你样子显示出来	0
你是一个什么东西	你都知道一些什么东西呢	0
机器人呢	吧机器人关	0
调戏你感觉怎么样	你是调戏主人是吧	0
举头望你爸	举头望明月思头呃错了	0
浙江卫视今天有什么好看的	今天浙江台放什么	0
你大姨妈的时候肚子疼不疼	孩子肚子疼怎么办	0
国家大剧院在哪	国家大剧院的地址	1
你讲的一点都不好笑	不好听，不好笑	0
你怎么回答的这么正经啊	你怎么老不回答呀	0
你怎么这么坏	你怎么这么坏呀	1
我要换桌面	桌面网络有问题吧	0
明天的限行尾号是多少	明天几号车限行	0
，静一静	读一个静夜思	0
你思考一个东西需要多久	充电需要多久	0
我累啊	我问是你累不累	0
我不听故事我要听你唱歌	你又不唱歌给我听	0
听你唱	我们想听你唱	1
我老婆不见了	我老婆来了	0
午饭可以吃什么	肚子饿了可以吃什么	0
不服气	不不唱了不唱了	0
播个	播一下	1
你会牙疼吗	你会肚子疼吗	0
你的梦想是什么	好吧那你的梦想破裂了	0
我想看你眨眼睛	那你眨个眼睛	1
你知道掉线了	为什么你总是掉线	0
我手里拿着是多少钱	这个多少钱我看看	0
你又睡着啦	你怎么又回来啦	0
后天到北京的航班	北京到台北的航班	0
跳到北京	尽快到北京	0
没关系啊唱一个嘛	没关系你就唱一首吧	1
你思考一个东西需要多久	你的智商这么低吗这还需要思考	0
你出生地在哪啊	我你你你叫	0
，十一月去日本看枫叶哪里比较好	那自己一个人去哪里玩比较好	0
现在国家主席是谁	席主席是谁	0
，你笑啥呢	我啥时候笑你了	0
我想要听诗，你给我背首诗吧	我要背首诗床前明月光	0
你好小乐	唱首小新乐	0
念徐志摩的诗	是徐志摩是系统里的粤语老歌	0
就这样做	就这样的	0
叫了你半天怎么没有反应	你怎么没反应呢	1
你认认识帅哥吗	那你认不认识我啊	0
你能不能给我们唱首歌呀	你给我们唱一首歌	0
快把自己杀死	把自己打开	0
乐迪乐迪	怎么可能叫做乐迪呀	0
放视频	给我放视频	1
现在是没有网吗	还没有网	0
所有的都有一点点往右偏	他就有一点点不稳性	0
发红包了	不是包包是抱抱	0
电源连接	关掉电源	0
哭出来	男人哭吧哭吧不是罪	0
我想看非诚勿扰	放首爱让我看得非典	0
李欣是谁	李晞彤是谁	0
帮我写家庭作业吧	写作业写作业	0
给我被唐诗	给我个号被封了	0
谁是杨价	杨万里是谁	0
交响乐	播放交响乐	0
你很谦虚	嘴上说想要，身体倒是很谦虚嘛	0
人参不是长在长白山上吗	长岛上不去了	0
你知道路飞吗	你知道那个飞入我继续说了	0
你是不是想和我吵架	你不要吵架吗	0
我不喜欢和女孩子聊天	我喜欢一个女孩子，但是我不好意思跟他讲	0
有什么好看电影	看一看近期都有什么好的电影，查一查	1
杨新萌很好看，是不是	你萌不萌	0
没纸了家里	如果那个纸包	0
最近有什么电影	这也是最近有什么新的电影	0
讲故事吧	讲个故讲个故事	1
你变成日本语版	我对你无语了	0
你喜欢太极熊吗	我要放太极	0
好吧那你没有男朋友吗	你有没有去交男朋友	0
你休息一会儿吧	你有点累了请允许我休息一下过一会儿再问我吧	0
你能干什么呢	你都能干什么	1
好了我们走	我们一起走吧	0
可口可乐真好喝	有什么好喝的	0
你管这么多干嘛	你有这么多秘密吗	0
放一下狗狗的叫声	狗狗是什么	0
给我展示一张星空的图片	那习近平主席是谁呀给我发张图片给我看一下	0
你不舒服吗	如果我心里不舒服你会安慰我吗	0
你不知道你爸爸是干嘛的吗感觉你爸爸好没有用啊	你爸爸有没有用	0
有没有把歌关掉	把歌关掉	0
你会控制家电吗	你会控制这家电吗	1
我好累呀	我给你沟通好累啊	0
你有病吗	对啊你大脑有病了	0
肯尼	邓肯的遥远的日本最火的故事	0
只说一句话你要说什么	你再说一句话	0
，你觉得热吗	我问你热不不热	1
广东话该怎么说	那你给我说句广东话吧	0
你马上就要被还回去喽吧	我们马上要退房喽	0
那你给我想个办法呀	我想想看要怎么样才有办法	0
你家能住几个人  有几间房啊	几个人啊	0
讲个儿童故事	讲儿童故事吧	1
乌兰巴托是什么	播放蒋敦豪的乌兰巴托的夜	0
啊啥	啥啊说啥，你他妈说啥呢啊	0
你能拿笔写字吗	你给我拿个笔	0
你人去哪了啊	去去去你拍呢	0
郑源	放首郑源的歌	0
星咖啡在哪里	米萨咖啡在哪里	0
说一个故事	说一个故事	1
我不好意思	不好意思	0
你还能唱什么歌	你刚刚唱的什么歌	0
他说你牛逼	牛逼呀我操	0
朕好热	今天好热呀	0
好紧张啊	说话好不好	0
我没让你睡	我让我臧傲云去睡，我又没让你去睡	0
我叫王大锤	恭喜大王	0
过来帮我	帮我你帮我倒杯水过来吧	0
我想问让你给我画幅画	我想看一呃一幅梵高的画	0
你告诉我喜欢男孩还是女孩	你是男孩女孩啊	0
唐诗三百首随便来背一首	唐诗三百首	0
你就走啦	你去睡吧你可以走啦	0
哎呀	哎呀算了	0
你知不知道赵本山	能放个赵本山的	0
女排队员名单	歌曲名单就没看	0
我能喝可乐吗	你能陪我喝两杯么	0
我想查一下怎么去上海火车站	明天我想去上海	0
叫这名字都谁起的啊	这的这首歌叫什么名字	0
两千八百就可以把你买回家吗	五千两百八十是	0
好咱们一块看电视	咱们不放了好吧	0
告诉我怎么做菜	你告诉我怎么做早餐	0
空气净化	你能空气净化吗	0
说说话	说说个相声吧	0
打开相机	打开打开	0
可以继续拔吗	还可以继续唱	0
，你管得着吗	你是不是管了	0
你好用心	我觉得你没有原来好用了	0
能帮我看会孩子吗	你能帮帮我吗	0
你要不要尊重要不要扯平	你要不要喝茶	0
喜欢看你	你喜不喜欢看哪些漫画呢	0
帮我订下外卖	我要订个外卖	0
你今天长得怎么不好看了	看你是不是长胖了	0
我生病了	我生病了怎么办	0
不许说话	说什么话你	0
你听懂啦	你听得懂英文吗	0
你猜的一点都不对	你猜我猜不猜	0
乖一点不要闹	你要学乖一点啊	0
你不是在骗我们吗	你就骗我了	0
旅行的意义	美好的旅行	0
唱歌	好唱歌了唱歌了	0
你知道我的职业吗	对你帮我估计一下我以后的职业	0
好想睡觉啊	好了请睡觉吧	0
介绍一下美食	介绍一下美食	1
给你一个白眼自己体会	你给我一个	0
花盆里的花开了	播放花开在眼前	0
可以放阿凡达的电影吗	放一个少年阿凡提	0
你没出息	你你你你你	0
我不愿意听了	不愿意摇头	0
我想逗你玩呢	你要把我逗逗开心	0
唱一个吧	唱唱一个小仓玩	0
卧槽	联播爱吐槽	0
当我回来放歌给我	请你给我讲当当的故事	0
边唱歌边故事	边看一看	0
真娘炮	炮是什么呀	0
O K放吧	那就放一放吧	1
然后没事了	然后呃没事了	1
万科的股票明天会涨吗	什么是万科	0
你的时间	你需要多长时间	0
我就是你的小伙伴	播放我的小伙伴惊呆了	0
最近话题有点少啊	他说呢他掌握的这些话题还很少希望后期多补充	0
黄油蟹	韩粉黄油	0
刷牙	你还刷牙洗脸	0
太丑了	因为你太丑了	0
，你自己唱一首歌	你给我唱一首歌好不好你自己调好啦	0
你有几个麦克风啊	你有几个 颜色	0
这是几个	这几点了	0
你会扫描吗	开始扫描	0
出汗啦	你把又弄出来啦	0
罗清是谁	罗志祥的女朋友是谁	0
我就说	我就说你啊	0
这个是不是很贵啊	鲜肉月饼不腻的啊，贵的真的	0
你快醒来	快点醒一醒	1
我的普通话说的好不好	好啊用普通话说吧	0
那么狡猾	哪那么屁话	0
我靠完蛋	我靠很高级啊	0
我是谁你还记得吗	我可以看了你还记得吗	0
辛苦呀	姐姐很辛苦哦	0
你能查数哦，你能查数哦	你能查火车票吗	0
你有几个朋友	郑总有几个女朋友	0
赐我一个礼物如何	我如何控制	0
帮我翻译下	进入翻译模式	0
你知道牛顿么	你知道你要的啊	0